flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
44073370,4577652,OY-VKT,A321,VKG9665,DK9665,ARN,,,
44106201,0,,GLF5,GLF5,,,,,
44105885,4976657,SHRL4,GRND,SHRL4,,IST,,,
44105773,4344105,VQ-BDA,A321,SVR3004,U63004,HRG,DME,DME,
44106121,4218673,G-DHLF,B763,DHK978,,BRU,CVG,CVG,
44106081,0,,C750,C750,,,,,
44105784,12605526,C-GHLT,B763,ACA25,AC25,YVR,PVG,PVG,
44073506,10889492,N4962V,C72R,N4962V,,RTM,,,
44106086,0,,GLF5,GLF5,,,,,
44073086,0,,CL60,CL60,,,,,
44106204,4195338,G-BNLK,B744,BAW246,BA246,GRU,LHR,LHR,
44106129,11302570,N902AR,B744,CWC4852,WE4852,MIA,,,
44105942,0,,GLF5,GLF5,,,,,
44106094,4084740,D-IXAA,BE9L,DIXAA,,,,,
44040401,12606418,C-GIUB,A321,ACA1237,AC1237,RSW,YYZ,YYZ,
44105990,12708224,-,,SW81,SW81,YYC,,,
44073270,3960934,D-ALCF,MD11,GEC8400,LH8400,FRA,KJA,KJA,
44106345,9003372,A6-EFF,B77F,UAE9997,EK9997,CPH,ORD,ORD,
44106260,11050008,N654FE,A306,FDX3715,,IND,SJC,SJC,
44106045,10924451,N530NK,A319,NKS730,NK730,LAX,ORD,ORD,
44105998,0,,,,,,,,
44105728,9003399,A6-EEH,A388,A6EEH,,JFK,,,
44106063,3934686,D-ASTD,A321,DASTD,,DUS,,,
44105883,7454009,HL7539,A332,KAL934,KE934,ZRH,ICN,ICN,
44106147,3416656,EC-JLE,A346,IBE6830,IB6830,SCL,MAD,MAD,
44078465,11076412,N680AE,E145,EGF3045,MQ3045,ORD,ICT,ICT,
44105894,14705545,LV-FNI,A332,AR1301,AR1301,JFK,EZE,EZE,
44073539,0,,CL30,CL30,,,,,
44105881,0,,C560,C560,,,,,
44105898,0,,HA4T,HA4T,,,,,
44105795,4921479,HB-JHN,A333,SWR155,LX155,BOM,ZRH,ZRH,
44106216,10677635,N288UP,MD11,UPS2930,5X2930,PHL,ONT,ONT,
44106272,9003539,A6-EGR,B77W,UAE766,EK766,JNB,DXB,DXB,
44116664,,N216JB,E190,JBU400,B6400,MSY,BOS,BOS,
44106032,11238018,N839HK,E145,LOF3349,,ICT,ORD,ORD,
44073327,10776205,N385HA,A332,HAL51,HA51,JFK,HNL,HNL,
44040627,811058,9Y-JMF,B738,BWA525,BW525,JFK,POS,POS,
44106128,10986839,N592FE,MD11,FDX3702,FX3702,IND,OAK,OAK,
44106113,8150316,VH-SOU,C500,SOU,,SYD,,,
44073416,10851675,N459UP,B752,UPS353,5X353,MIA,,,
44122159,10664133,N27477,B739,UAL1088,UA1088,MCI,DEN,DEN,
44106107,3951363,D-ABXC,A332,BER7347,AB7347,PUJ,MUC,MUC,
44105966,0,,C56X,C56X,,,,,
44122118,,N398DA,B738,DAL984,DL984,MSY,LAX,LAX,
44073051,0,,CRJ2,CRJ2,,,,,
44116705,,N666A,B752,AAL1252,AA1252,ORD,MIA,MIA,
44106002,4196347,G-YMMP,B772,BAW17,BA17,LHR,ICN,ICN,
44106317,10583670,N196AA,B752,AAL1089,AA1089,BGI,MIA,MIA,
44105817,4736021,PH-BQL,B772,KLM810,KL810,KUL,AMS,AMS,
44106468,11106235,N709TW,B752,DAL86,DL86,SLC,JFK,JFK,
44106833,0,,F2TH,F2TH,,,,,
